# Run	Eb[GeV]	Xsec[pb]	MC_PID_mum	MC_PID_mup
17	10.6	0.0642577	13		-13
1701	10.6	0.0642577	-211		211
18	22.	0.0816628	13		-13
19	10.6	0.0104044	13		-13
20	22.	0.0263213	13		-13
22	10.6	0.695867	13		-13
23	10.6	4.363300	13		-13
24	10.6	0.0209843	13		-13
26	10.6	19.25890	13		-13
27	10.6	193.7970	13		-13
27001	10.6	193.7970	13		-13
27002	10.6	193.7970	13		-13
32	11.0	0.235491	13		-13
32001	11.0	0.235491	13		-13
32002	11.0	0.235491	13		-13
32003	11.0	0.235491	13		-13
32004	11.0	0.235491	13		-13
32005	11.0	0.235491	13		-13
32006	11.0	0.235491	13		-13
32007	11.0	0.235491	13		-13
33005	11.0	0.226409	13		-13
5117	10.6	41900		-211		211
5125	10.6	41900		-211		211
5126	10.6	41231		-211		211
5128	10.6	41231		-211		211
5130	10.6	35910		-211		211
5163	10.6	41305		-211		211
5165	10.6	41377		-211		211
5166	10.6	41377		-211		211
5167	10.6	40116		-211		211
5169	10.6	40631		-211		211
5181	10.6	37847		-211		211
5191	10.6	38790		-211		211
5196	10.6	39901		-211		211
5197	10.6	40041		-211		211
5198	10.6	39707		-211		211
5199	10.6	39868		-211		211
5202	10.6	40114		-211		211
5203	10.6	40210		-211		211
5204	10.6	41497		-211		211
5212	10.6	42160		-211		211
5215	10.6	42488		-211		211
5219	10.6	42626		-211		211
5220	10.6	42966		-211		211
5221	10.6	43157		-211		211
5222	10.6	42994		-211		211
5230	10.6	42287		-211		211
5231	10.6	42891		-211		211
5232	10.6	40976		-211		211
5233	10.6	42247		-211		211
5234	10.6	42436		-211		211
5247	10.6	33335		-211		211
5248	10.6	42100		-211		211
5249	10.6	42037		-211		211
5257	10.6	41306		-211		211
5258	10.6	40851		-211		211
5261	10.6	40922		-211		211
5303	10.6	42802		-211		211
5304	10.6	42746		-211		211
5306	10.6	42609		-211		211
5317	10.6	42045		-211		211
5318	10.6	40549		-211		211
5319	10.6	42413		-211		211
5346	10.6	43235		-211		211
5356	10.6	42820		-211		211
5357	10.6	43322		-211		211
5358	10.6	43599		-211		211
5359	10.6	43677		-211		211
5360	10.6	43481		-211		211
5366	10.6	43592		-211		211
5367	10.6	44155		-211		211
5374	10.6	43050		-211		211
5375	10.6	43256		-211		211
5379	10.6	42697		-211		211
5381	10.6	42274		-211		211
5391	10.6	40316		-211		211
5393	10.6	39047		-211		211
5407	10.6	42215		-211		211
